# CSV-File created with merge-csv.com
# -----------------------------------------------------------

﻿"Id","Season","Week","Season Type","Start Date","Start Time Tbd","Completed","Neutral Site","Conference Game","Attendance","Venue Id","Venue","Home Id","Home Team","Home Conference","Home Division","Home Points","Home Line Scores","Home Post Win Prob","Home Pregame Elo","Home Postgame Elo","Away Id","Away Team","Away Conference","Away Division","Away Points","Away Line Scores","Away Post Win Prob","Away Pregame Elo","Away Postgame Elo","Excitement Index","Highlights","Notes"
"401541923","2023","1","regular","2023-09-01T00:00:00.000Z","false","true","false","false","","3942","Stewart Stadium","2692","Weber State","Big Sky","fcs","35","","","","","2120","Central Washington","Lone Star","ii","10","","","","","","",""
"401520148","2023","1","regular","2023-09-01T00:00:00.000Z","false","true","false","true","53629","3953","TCF Bank Stadium","135","Minnesota","Big Ten","fbs","13","","0.047056199428105606","1672","1671","158","Nebraska","Big Ten","fbs","10","","0.9529438005718944","1521","1522","7.6567577720","",""
"401541760","2023","1","regular","2023-09-01T00:00:00.000Z","false","true","false","true","","5113","Ruggles Field at Carpenter-Haygood Stadium","2271","Henderson State","Great American","ii","41","","","","","2191","East Central","Great American","ii","13","","","","","","",""
"401523987","2023","1","regular","2023-09-01T02:00:00.000Z","false","true","false","false","47773","3947","Sun Devil Stadium","9","Arizona State","Pac-12","fbs","24","","0.8446309628185182","1464","1464","253","Southern Utah","UAC","fcs","21","","0.15536903718148176","","","6.1818221504","",""
"401550131","2023","1","regular","2023-09-01T22:00:00.000Z","false","true","false","false","","5637","Vendetti Field","2884","Nichols","Commonwealth Coast","iii","6","","","","","379","UMass Dartmouth","MSCAC","iii","57","","","","","","",""
"401541826","2023","1","regular","2023-09-01T22:00:00.000Z","false","true","true","false","","6036","Blue Wahoos Stadium","110242","West Florida","Gulf South","ii","35","","","","","2316","Kentucky Wesleyan","Great Midwest Athletic","ii","3","","","","","","",""
"401532394","2023","1","regular","2023-09-01T22:30:00.000Z","false","true","false","false","18065","3912","Rynearson Stadium","2199","Eastern Michigan","Mid-American","fbs","33","","0.674892990120817","1433","1433","47","Howard","MEAC","fcs","23","","0.32510700987918295","","","6.1358257629","",""
"401549580","2023","1","regular","2023-09-01T23:00:00.000Z","false","true","false","false","","5788","Merrill Field at Yunevich Stadium","365","Alfred","Empire 8","iii","9","","","","","174","Hobart","Liberty League","iii","31","","","","","","",""
"401553027","2023","1","regular","2023-09-01T23:00:00.000Z","false","true","false","false","","6202","Cardinal Stadium (DC)","2108","Catholic University","Landmark Conference","iii","34","","","","","2700","McDaniel College","Centennial","iii","7","","","","","","",""
"401549629","2023","1","regular","2023-09-01T23:00:00.000Z","false","true","false","false","","6089","Scotty Wood Stadium","2422","Muhlenberg","Centennial","iii","53","","","","","323","Moravian","Landmark Conference","iii","12","","","","","","",""
"401525463","2023","1","regular","2023-09-01T23:00:00.000Z","false","true","false","false","49024","3948","Hard Rock Stadium","2390","Miami","ACC","fbs","38","","0.998936250688961","1377","1481","193","Miami (OH)","Mid-American","fbs","3","","0.0010637493110390306","1420","1316","3.4198776736","",""
"401550109","2023","1","regular","2023-09-01T23:00:00.000Z","false","true","false","false","","3621","Arnold Field (PA)","388","Lebanon Valley","Mid Atlantic","iii","12","","","","","2234","Franklin & Marshall","Centennial","iii","16","","","","","","",""
"401552881","2023","1","regular","2023-09-01T23:00:00.000Z","false","true","false","false","","5899","Alumni Stadium (Worcester, MA)","2749","Worcester Polytechnic","NEWMAC","iii","44","","","","","402","Worcester State College","MSCAC","iii","13","","","","","","",""
"401550079","2023","1","regular","2023-09-01T23:00:00.000Z","false","true","false","true","","5830","Walter M. Katz Field","40","Curry","Commonwealth Coast","iii","0","","","","","2776","Salve Regina","Commonwealth Coast","iii","48","","","","","","",""
"401520163","2023","1","regular","2023-09-01T23:00:00.000Z","false","true","false","false","","3936","Spartan Stadium","127","Michigan State","Big Ten","fbs","31","","0.9898329760584107","1533","1575","2117","Central Michigan","Mid-American","fbs","7","","0.010167023941589304","1370","1328","6.6605477190","",""
