Team,Wins,Losses,Distribution
Florida A&M,10,1,0.0015577140987111371
Bemidji State,8,2,0.0015570452036280762
UW-Stout,4,6,0.0015408920665650992
Northern State,5,6,0.001530376987346033
Wayne State (MI),3,8,0.0015245853944113982
Wisconsin-Stevens Point,1,9,0.0015240433818337741
Minot State,1,10,0.0015192662404420855
Central Connecticut,3,8,0.0015094594164765348
Notre Dame College,7,3,0.0015074441654636802
Concordia-St. Paul,3,8,0.0015020972942149406
East Stroudsburg,9,2,0.001501225506442781
Glenville State,7,5,0.001500910154741968
Missouri S&T,4,7,0.0014982219993468955
South Carolina State,5,6,0.0014948410312602954
Stonehill,5,5,0.0014908223642375567
Kennesaw State,3,6,0.00148389066861655
East Tennessee State,3,8,0.0014639996054355252
Shepherd,9,2,0.0014632663724112197
Alderson-Broaddus,5,5,0.0014624077395240125
Arkansas-Pine Bluff,2,9,0.0014622613319893994
Northwood (MI),5,6,0.001457829045761087
Wisconsin-Platteville,6,4,0.001446361263763095
Southwest Baptist,4,7,0.0014451574197143775
Duquesne,7,4,0.0014448671235362358
University of Mary,2,9,0.0014447847637512603
Wheeling Jesuit,5,5,0.0014391617515950549
West Liberty,5,7,0.0014370527516209051
Bloomsburg,3,8,0.0014328982402445143
Wagner,4,7,0.0014327894515493884
Quincy,6,5,0.0014276895606442593
Alabama A&M,5,6,0.001422267500944276
Lock Haven,5,6,0.00141769833816557
Wisconsin-La Crosse,9,1,0.0014175683026982089
Ohio Dominican,4,7,0.0014065989337024311
West Virginia State,4,6,0.0013935913361810153
California (PA),8,4,0.0013912393557208769
Northern Michigan,0,11,0.0013848416737953636
Prairie View,6,5,0.001384184809196467
Fairmont State,7,3,0.0013835541161963888
Millersville,3,8,0.0013734644799247347
Delaware State,1,10,0.0013724084902505625
Frostburg State,8,4,0.0013602716461900474
Grambling,5,6,0.0013595491051604787
St Francis (PA),4,6,0.0013548759164531336
Truman State,9,2,0.0013505366989970584
Alcorn State,7,4,0.0013485423690850354
Bethune-Cookman,3,8,0.0013478491086321486
Gannon,5,6,0.0013436075708054742
Thomas More,5,6,0.001327788275043232
Michigan Tech,5,5,0.001324693543964762
Texas Southern,3,8,0.0013194408123060571
Walsh,3,8,0.0013183544273606853
Western State,10,1,0.0013140723376199224
Hillsdale,6,5,0.0013131080004647531
Alabama State,7,4,0.0013101721306635773
Kutztown,9,2,0.0013045895928528483
UW-River Falls,7,3,0.001301633674415375
Southern,6,5,0.0013003638867749878
Upper Iowa,3,8,0.0012949358122885685
Edinboro,3,8,0.0012844397202460799
Indianapolis,9,1,0.0012791817094879802
Concord,1,10,0.001271768391513062
Findlay,7,4,0.0012665248263029017
Ashland,8,3,0.0012562942895883765
WV Wesleyan,0,10,0.0012541059064675787
Black Hills State,6,5,0.0012514084392424535
Shippensburg,3,8,0.001251052181198643
Grand Valley State,9,1,0.001245253509678933
Stetson,3,8,0.0012397150191217775
Jackson State,7,4,0.0012380066430490468
Morehead State,5,6,0.0012371156471396548
Davenport,8,2,0.0012356602547150255
Slippery Rock,10,1,0.0012305523443786358
Indiana (PA),6,5,0.0012282475953028687
Fort Lewis,0,11,0.001227247797247492
Tiffin,11,0,0.001222394739699571
West Chester,6,5,0.0012079981640792355
McKendree,5,5,0.0011943922539889836
Mississippi Valley State,1,10,0.001188003007614799
William Jewell College,2,8,0.0011869487027111351
Kentucky Wesleyan,4,7,0.001181781739010886
Marist,4,7,0.0011804821178200016
Lake Erie College,1,10,0.001177953996928729
Presbyterian College,3,8,0.0011716998525623898
Chadron State,5,6,0.0011701631307094067
Davidson,7,4,0.0011692487453772646
Seton Hill College,6,5,0.0011663982352580773
San Diego,4,7,0.0011588369868354759
Mercyhurst,2,9,0.0011529850948033189
Colorado Mines,11,0,0.001150198444362346
Lenoir-Rhyne,10,1,0.001142450900216794
St. Thomas (MN),8,3,0.0011418209875811347
Drake,8,3,0.0011238928375446335
Dayton,4,7,0.0011212535778294351
Valdosta State,10,1,0.0010953050026411316
